"gene","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"RAPGEF2",0,-0.391251382967531,0.179,0.442,0
"ARMH4",0,-0.806664966513821,0.106,0.369,0
"ZNF532",0,-0.442346893791996,0.142,0.405,0
"GLCCI1",0,-1.07318897528419,0.081,0.344,0
"ABHD14A",0,-0.58469992946961,0.079,0.341,0
"ATP8A1",0,-0.448181685515263,0.167,0.429,0
"FSTL5",0,-1.61969213188132,0.07,0.332,0
"SBF2",0,-0.494739895729621,0.156,0.418,0
"CDK8",0,-0.404707688529297,0.151,0.413,0
"DNM1L",0,-0.40012850710255,0.163,0.424,0
"BLOC1S1",0,-0.454857938559106,0.081,0.342,0
"RTL8A",0,-0.293929482333021,0.095,0.356,0
"BAZ2B",0,-0.46744550148354,0.141,0.401,0
"ZSWIM6",0,-0.386522266860948,0.171,0.431,0
"TTLL7",0,-0.663196745221123,0.128,0.387,0
"LRRTM4",0,-0.616530557573792,0.133,0.392,0
"AC009315.1",0,-0.653984572220322,0.145,0.404,0
"CBLB",0,-0.956046150031927,0.118,0.377,0
"HNRNPM",0,-0.344080880553353,0.151,0.41,0
"CACNA1E",0,-0.912934297210535,0.115,0.373,0
"HS3ST5",0,-1.03173189418615,0.103,0.361,0
"AL033504.1",0,-0.824689803140756,0.121,0.379,0
"JPH4",0,-0.621579615933994,0.105,0.363,0
"MYO9A",0,-0.467321689861374,0.151,0.409,0
